1998-01-01 00:00:00  13 2
 -2.5  35.1391182
 -7.5  35.13908
 -12.5  35.139019
 -17.5  35.1389198
 -22.5  35.1388206
 -27.5  35.13871
 -32.5  35.1386185
 -37.5  35.1385498
 -42.5  35.1385002
 -47.5  35.1384583
 -55.  35.1384506
 -67.5  35.1385803
 -85.5  35.1386909
1998-01-01 12:00:00  13 2
 -2.5  35.1391182
 -7.5  35.13908
 -12.5  35.139019
 -17.5  35.1389198
 -22.5  35.1388206
 -27.5  35.13871
 -32.5  35.1386185
 -37.5  35.1385498
 -42.5  35.1385002
 -47.5  35.1384583
 -55.  35.1384506
 -67.5  35.1385803
 -85.5  35.1386909
1998-01-02 12:00:00  13 2
 -2.5  35.14254
 -7.5  35.1425095
 -12.5  35.1424294
 -17.5  35.1423302
 -22.5  35.1421814
 -27.5  35.1419983
 -32.5  35.141819
 -37.5  35.1416588
 -42.5  35.1414909
 -47.5  35.1413612
 -55.  35.1412086
 -67.5  35.1411209
 -85.5  35.1410484
1998-01-03 12:00:00  13 2
 -2.5  35.1431198
 -7.5  35.1430893
 -12.5  35.1430206
 -17.5  35.1429214
 -22.5  35.1428108
 -27.5  35.1426888
 -32.5  35.1425781
 -37.5  35.1424599
 -42.5  35.1423302
 -47.5  35.1422501
 -55.  35.14217
 -67.5  35.1421814
 -85.5  35.1422005
1998-01-04 12:00:00  13 2
 -2.5  35.1431084
 -7.5  35.1430588
 -12.5  35.1429901
 -17.5  35.1428909
 -22.5  35.1427917
 -27.5  35.1427002
 -32.5  35.1426392
 -37.5  35.1425896
 -42.5  35.1425514
 -47.5  35.1425285
 -55.  35.14254
 -67.5  35.1426697
 -85.5  35.1427803
1998-01-05 12:00:00  13 2
 -2.5  35.1420212
 -7.5  35.1420288
 -12.5  35.1420517
 -17.5  35.1420784
 -22.5  35.1421204
 -27.5  35.1421814
 -32.5  35.1422615
 -37.5  35.1423302
 -42.5  35.1424217
 -47.5  35.1425209
 -55.  35.1427002
 -67.5  35.1431389
 -85.5  35.1434708
1998-01-06 12:00:00  13 2
 -2.5  35.1420403
 -7.5  35.1420517
 -12.5  35.1420784
 -17.5  35.1421394
 -22.5  35.1422081
 -27.5  35.1422997
 -32.5  35.1424294
 -37.5  35.1425705
 -42.5  35.1427307
 -47.5  35.1429291
 -55.  35.14328
 -67.5  35.1441307
 -85.5  35.14468
1998-01-07 12:00:00  13 2
 -2.5  35.1423416
 -7.5  35.1423187
 -12.5  35.1422997
 -17.5  35.1422882
 -22.5  35.1422806
 -27.5  35.1422997
 -32.5  35.1423492
 -37.5  35.1424217
 -42.5  35.1425285
 -47.5  35.1427002
 -55.  35.1431084
 -67.5  35.1440506
 -85.5  35.1447411
1998-01-08 12:00:00  13 2
 -2.5  35.1426392
 -7.5  35.1426201
 -12.5  35.1426086
 -17.5  35.1426086
 -22.5  35.1426201
 -27.5  35.1426582
 -32.5  35.1427383
 -37.5  35.1428413
 -42.5  35.1429901
 -47.5  35.1432304
 -55.  35.1438217
 -67.5  35.1451187
 -85.5  35.1456985
1998-01-09 12:00:00  13 2
 -2.5  35.14468
 -7.5  35.1446419
 -12.5  35.1445694
 -17.5  35.1444893
 -22.5  35.1444206
 -27.5  35.1443596
 -32.5  35.1443405
 -37.5  35.1443481
 -42.5  35.1444092
 -47.5  35.1445389
 -55.  35.1452103
 -67.5  35.1464615
 -85.5  35.1472893
1998-01-10 12:00:00  13 2
 -2.5  35.1455612
 -7.5  35.1455193
 -12.5  35.1454391
 -17.5  35.1453514
 -22.5  35.1452789
 -27.5  35.1452103
 -32.5  35.1451797
 -37.5  35.1451683
 -42.5  35.1451912
 -47.5  35.1452408
 -55.  35.1453896
 -67.5  35.1474495
 -85.5  35.1481514
1998-01-11 12:00:00  13 2
 -2.5  35.1436501
 -7.5  35.1436005
 -12.5  35.1435318
 -17.5  35.1434402
 -22.5  35.1433487
 -27.5  35.1432686
 -32.5  35.1432114
 -37.5  35.1431503
 -42.5  35.1431007
 -47.5  35.1431007
 -55.  35.1432991
 -67.5  35.1495094
 -85.5  35.1497993
1998-01-12 12:00:00  13 2
 -2.5  35.1441383
 -7.5  35.1440392
 -12.5  35.1438904
 -17.5  35.1436996
 -22.5  35.1435013
 -27.5  35.1432686
 -32.5  35.1431503
 -37.5  35.1428604
 -42.5  35.142849
 -47.5  35.1430702
 -55.  35.1442795
 -67.5  35.1515312
 -85.5  35.1519585
1998-01-13 12:00:00  13 2
 -2.5  35.14468
