1998-01-01 00:00:00  13 2
 -2.5  8.06867027
 -7.5  8.08003998
 -12.5  8.08532047
 -17.5  8.0909996
 -22.5  8.09687042
 -27.5  8.10340977
 -32.5  8.10943031
 -37.5  8.11474991
 -42.5  8.11933994
 -47.5  8.12364006
 -55.  8.12893963
 -67.5  8.13638973
 -85.5  8.14319992
1998-01-01 12:00:00  13 2
 -2.5  8.06867027
 -7.5  8.08003998
 -12.5  8.08532047
 -17.5  8.0909996
 -22.5  8.09687042
 -27.5  8.10340977
 -32.5  8.10943031
 -37.5  8.11474991
 -42.5  8.11933994
 -47.5  8.12364006
 -55.  8.12893963
 -67.5  8.13638973
 -85.5  8.14319992
1998-01-02 12:00:00  13 2
 -2.5  8.05160046
 -7.5  8.06155968
 -12.5  8.0660696
 -17.5  8.07071972
 -22.5  8.07571983
 -27.5  8.08131027
 -32.5  8.08656979
 -37.5  8.09103966
 -42.5  8.09535027
 -47.5  8.09916019
 -55.  8.10400009
 -67.5  8.11085987
 -85.5  8.11738014
1998-01-03 12:00:00  13 2
 -2.5  8.01836967
 -7.5  8.02847004
 -12.5  8.0332098
 -17.5  8.0383997
 -22.5  8.04337978
 -27.5  8.04887009
 -32.5  8.05408955
 -37.5  8.0590601
 -42.5  8.06381035
 -47.5  8.06791973
 -55.  8.07316017
 -67.5  8.08069038
 -85.5  8.08813
1998-01-04 12:00:00  13 2
 -2.5  8.00432968
 -7.5  8.01237011
 -12.5  8.01667023
 -17.5  8.02099037
 -22.5  8.02532959
 -27.5  8.02952003
 -32.5  8.03372002
 -37.5  8.03756046
 -42.5  8.04102993
 -47.5  8.04386997
 -55.  8.04778004
 -67.5  8.05360985
 -85.5  8.05922031
1998-01-05 12:00:00  13 2
 -2.5  8.01054955
 -7.5  8.01438046
 -12.5  8.01661015
 -17.5  8.01885033
 -22.5  8.02106953
 -27.5  8.02328014
 -32.5  8.02548027
 -37.5  8.02762032
 -42.5  8.02970028
 -47.5  8.03172016
 -55.  8.03464031
 -67.5  8.03919029
 -85.5  8.04329967
1998-01-06 12:00:00  13 2
 -2.5  8.0167799
 -7.5  8.0195303
 -12.5  8.02112007
 -17.5  8.02270985
 -22.5  8.02429008
 -27.5  8.0258503
 -32.5  8.02742958
 -37.5  8.02896976
 -42.5  8.03048992
 -47.5  8.03201008
 -55.  8.03437996
 -67.5  8.03822994
 -85.5  8.04074955
1998-01-07 12:00:00  13 2
 -2.5  8.02301025
 -7.5  8.0247097
 -12.5  8.02569962
 -17.5  8.0267601
 -22.5  8.02787018
 -27.5  8.02902985
 -32.5  8.03024006
 -37.5  8.03147984
 -42.5  8.03277969
 -47.5  8.03415966
 -55.  8.03666973
 -67.5  8.04030991
 -85.5  8.04298019
1998-01-08 12:00:00  13 2
 -2.5  8.02923965
 -7.5  8.03114986
 -12.5  8.03223038
 -17.5  8.03328991
 -22.5  8.0343504
 -27.5  8.0353899
 -32.5  8.03645992
 -37.5  8.03754044
 -42.5  8.0387001
 -47.5  8.04012966
 -55.  8.0427599
 -67.5  8.04621029
 -85.5  8.04773045
1998-01-09 12:00:00  13 2
 -2.5  8.03547001
 -7.5  8.03732014
 -12.5  8.03835964
 -17.5  8.03952026
 -22.5  8.04074001
 -27.5  8.04201984
 -32.5  8.04331017
 -37.5  8.04456043
 -42.5  8.04580021
 -47.5  8.04716969
 -55.  8.05070019
 -67.5  8.05432034
 -85.5  8.05632973
1998-01-10 12:00:00  13 2
 -2.5  8.04168987
 -7.5  8.04543018
 -12.5  8.0474596
 -17.5  8.04940987
 -22.5  8.05125046
 -27.5  8.05298996
 -32.5  8.05451965
 -37.5  8.05587959
 -42.5  8.05708027
 -47.5  8.05819988
 -55.  8.05980968
 -67.5  8.06744003
 -85.5  8.06886959
1998-01-11 12:00:00  13 2
 -2.5  8.06960964
 -7.5  8.06844044
 -12.5  8.0678997
 -17.5  8.06754017
 -22.5  8.06723976
 -27.5  8.06702042
 -32.5  8.06684971
 -37.5  8.06672001
 -42.5  8.06634045
 -47.5  8.06606007
 -55.  8.06622982
 -67.5  8.08378029
 -85.5  8.08401012
1998-01-12 12:00:00  13 2
 -2.5  8.12042046
 -7.5  8.11625004
 -12.5  8.11382961
 -17.5  8.11143017
 -22.5  8.10906982
 -27.5  8.10560036
 -32.5  8.10249996
 -37.5  8.09525013
 -42.5  8.09175968
 -47.5  8.08769989
 -55.  8.08430004
 -67.5  8.0939703
 -85.5  8.0939703
1998-01-13 12:00:00  13 2
 -2.5  8.17123985
 -7.5  8.16664982
 -12.5  8.16407013
 -17.5  8.16162014
 -22.5  8.15917969
 -27.5  8.15639019
 -32.5  8.15307999
 -37.5  8.14638042
 -42.5  8.12637997
 -47.5  8.11522007
 -55.  8.10931969
 -67.5  8.11238956
 -85.5  8.11131001
1998-01-14 12:00:00  13 2
 -2.5  8.2220602
 -7.5  8.21772003
 -12.5  8.21444988
 -17.5  8.21103954
 -22.5  8.20814991
 -27.5  8.20324039
 -32.5  8.19563007
 -37.5  8.18085003
 -42.5  8.15767956
 -47.5  8.15188026
 -55.  8.14583015
 -67.5  8.14258957
 -85.5  8.1412096
1998-01-15 12:00:00  13 2
 -2.5  8.2728796
 -7.5  8.26770973
 -12.5  8.26373959
 -17.5  8.25990009
 -22.5  8.25461006
 -27.5  8.24040985
 -32.5  8.22041035
 -37.5  8.19979954
 -42.5  8.17687988
 -47.5  8.16944981
 -55.  8.16236973
 -67.5  8.15898991
 -85.5  8.15874958
1998-01-16 12:00:00  13 2
 -2.5  8.32369995
 -7.5  8.31004047
 -12.5  8.29846001
 -17.5  8.28979015
 -22.5  8.27840996
 -27.5  8.26191998
 -32.5  8.23686028
 -37.5  8.2137804
 -42.5  8.18957996
 -47.5  8.16998005
 -55.  8.1593399
 -67.5  8.15732002
 -85.5  8.15758038
1998-01-17 12:00:00  13 2
 -2.5  8.37450981
 -7.5  8.3635397
 -12.5  8.3577404
 -17.5  8.35163021
 -22.5  8.34494019
 -27.5  8.33854961
 -32.5  8.30601025
 -37.5  8.27581024
 -42.5  8.25323963
 -47.5  8.22074986
 -55.  8.1718502
 -67.5  8.15495968
 -85.5  8.1540699
1998-01-18 12:00:00  13 2
 -2.5  8.35204983
 -7.5  8.35803986
 -12.5  8.36104012
 -17.5  8.36281013
 -22.5  8.36139011
 -27.5  8.3565197
 -32.5  8.33934975
 -37.5  8.28174019
 -42.5  8.25002956
 -47.5  8.21741009
 -55.  8.19036007
 -67.5  8.16650009
 -85.5  8.16392994
1998-01-19 12:00:00  13 2
 -2.5  8.25218964
 -7.5  8.26043987
 -12.5  8.26471043
 -17.5  8.26848984
 -22.5  8.27169037
 -27.5  8.27427959
 -32.5  8.27618027
 -37.5  8.27620029
 -42.5  8.2560997
 -47.5  8.22721004
 -55.  8.19538021
 -67.5  8.17304993
 -85.5  8.17173958
1998-01-20 12:00:00  13 2
 -2.5  8.15229988
 -7.5  8.16257
 -12.5  8.16759968
 -17.5  8.17212963
 -22.5  8.1763401
